pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum_x,st_logg,st_age,st_dens,decstr,dec,sy_dist,pl_type,IST,SPH,HZD,HZC,HZA,pClass,hClass,PHI,is_pot_livable,st_class,st_chz_inn_edge (AU),st_chz_out_edge (AU),st_lum_y,st_chz_width,st_chz_inn_edge (ls),st_chz_out_edge (ls),pl_orb_is_in_CHZ,pl_orb_prc_in_cCHZ,pl_orb_prc_in_cCHZ,OHZIN,CHZIN,CHZOUT,OHZOUT
AU Mic c,AU Mic,1,2,0,Transit,18.859019,0.1101,3.24,0.289,13.6,0.04279,2.3,0.0,,454.0,89.0,2458342.2223,,4.5,0.0395,,3700.0,0.75,0.5,,,,,0.022,,-31d20m32.82s,-31.34245,9.7221,neptune-like,,,,,,,,,,,,,,,,,False,0.0,0.0,0.251,0.318,0.611,0.645
BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,481.9,1.3,,,2034.112,6.4,,0.2,,,,,,,,,4095.0,32.35,1.14,-0.71,[Fe/H],2.7,1.89,5.2,,+02d45m36.39s,2.7601075,1070.63,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,18.118,22.95,43.273,45.643
BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,268.94,0.7785,,,398.8666,1.255,,0.29,,,,,,,,K2 V,4936.0,0.905,0.675,0.135,[Fe/H],-0.32,4.43,,,+14d41m21.78s,14.6893834,49.352,gas giant,,,,,,,,,,K2,0.43,0.69,0.21,0.26,214.95,343.01,True,83.3,100.0,0.481,0.609,1.108,1.168
BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,153.22,0.576,,,337.21763,1.061,,0.001,,,,,,,,,4649.0,8.95,1.08,-0.22,[Fe/H],1.57,2.61,7.41,,+14d36m58.75s,14.6163182,768.045,,,,,,,,,,,,,,,,,,False,0.0,0.0,4.848,6.14,11.278,11.896
BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,137.48,0.539,,,352.78,1.11,,0.26,,,,,,,,K0,4796.0,14.7,1.1,0.28,[Fe/H],2.01,2.8,7.1,,+15d32m48.30s,15.5467507,426.42,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,7.997,10.129,18.486,19.498
BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,379.63,1.25,,,12237.89985,38.505,,0.15,,,,,,,,K2 II,4198.0,60.01,6.8149999999999995,-0.895,[Fe/H],3.17,1.6400000000000001,,,+19d53m28.55s,19.8912626,1539.71,gas giant,,,,,,,,,,K2,0.43,0.69,0.21,0.26,214.95,343.01,False,0.0,0.0,31.105,39.399,73.697,77.733
BD+20 2457 c,BD+20 2457,1,2,0,Radial Velocity,621.99,2.01,,,3963.17,12.47,,0.18,,,,,,,,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],3.17,1.51,,,+19d53m28.55s,19.8912626,1539.71,gas giant,,,,,,,,,,K2,0.43,0.69,0.21,0.26,214.95,343.01,False,0.0,0.0,31.093,39.384,74.109,78.167
BD+20 274 b,BD+20 274,1,1,0,Radial Velocity,578.2,1.3,,,1334.886,4.2,,0.21,,,,,,,,K5 III,4296.0,17.3,0.8,-0.46,[Fe/H],1.96,1.99,,,+21d00m18.97s,21.0052692,1322.51,gas giant,,,,,,,,,,K5,0.27,0.43,0.0824,0.16,134.65,214.86,False,0.0,0.0,7.687,9.737,18.181,19.176
BD+20 594 b,BD+20 594,1,1,0,Transit,41.687072,0.241,2.3876666666666666,0.213,19.274050000000003,0.060645000000000004,7.89,0.0,,546.0,89.538,2457110.215435,0.049,,0.022315,G,5734.5,0.9900000000000001,1.315,-0.105,[Fe/H],-0.056,4.4399999999999995,3.34,1.795,+20d35m56.47s,20.5990205,179.461,neptune-like,,,,,,,,,,G,,,,,,,False,0.0,0.0,0.808,1.023,1.805,1.904
BD+45 564 b,BD+45 564,1,1,0,Radial Velocity,307.88,0.83,,,432.24663,1.36,,0.12,,,2.579,,,,,K1,5004.0,,0.81,-0.09,[Fe/H],,4.22,,,+45d55m27.19s,45.9242187,53.622,gas giant,,,,,,,,,,K1,0.5,0.79,0.28,0.3,248.21,396.07,True,43.7,100.0,0.679,0.86,1.557,1.642
BD+48 738 b,BD+48 738,1,1,0,Radial Velocity,392.6,1.0,,,289.2253,0.91,,0.2,,,,,,,,K0 III,4414.0,11.0,0.74,-0.2,[Fe/H],1.69,2.24,,,+49d35m12.98s,49.5869395,871.493,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,True,0.0,0.0,5.613,7.11,13.2,13.923
BD+48 740 b,BD+48 740,1,1,0,Radial Velocity,733.0,1.7,,,540.311,1.7,,0.76,,,,,,,,,4534.0,10.33,1.09,-0.13,[Fe/H],1.64,2.48,,,+48d55m48.21s,48.9300579,666.589,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,5.277,6.684,12.342,13.017
